pos,corr_resp,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
150,v,0,0,0,0,7,1,29,1,,,,,274.2080410000003,275.2077067000005,275.2077067000005,275.2077067000005,275.2077067000005,275.2077067000005,276.20721150000054,276.20721150000054,v,1,0.4320173999999497,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
50,c,0,0,0,0,7,2,30,2,,,,,276.6573924999998,277.6569346000001,277.6569346000001,277.6569346000001,277.6569346000001,277.6569346000001,278.6565548000003,278.6565548000003,c,1,0.33446609999964494,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-150,z,0,0,0,0,7,3,31,3,,,,,279.02300090000017,280.00639509999974,280.00639509999974,280.00639509999974,280.00639509999974,280.02260350000006,281.0225931,281.0225931,z,1,0.40918069999997897,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-50,x,0,0,0,0,8,0,32,0,,,,,281.4556759000002,282.45479900000055,282.45479900000055,282.45479900000055,282.45479900000055,282.45479900000055,283.45561020000014,283.45561020000014,x,1,0.36909460000015315,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
150,v,0,0,0,0,8,1,33,1,,,,,283.85480810000035,284.8551676000002,284.8551676000002,284.8551676000002,284.8551676000002,284.8551676000002,285.8550334000006,285.8550334000006,v,1,0.47817390000045634,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
50,c,0,0,0,0,8,2,34,2,,,,,286.35446660000025,287.3543504000004,287.3543504000004,287.3543504000004,287.3543504000004,287.3543504000004,288.3535864999999,288.3535864999999,c,1,0.5580390999998599,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-150,z,0,0,0,0,8,3,35,3,,,,,288.9362949000001,289.9374832999997,289.9374832999997,289.9374832999997,289.9374832999997,289.9374832999997,290.93598239999983,290.93598239999983,z,1,0.39370889999963765,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-50,x,0,0,0,0,9,0,36,0,,,,,291.3524345000001,292.35224160000007,292.35224160000007,292.35224160000007,292.35224160000007,292.35224160000007,293.3519916,293.3519916,x,1,0.46665819999952873,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
150,v,0,0,0,0,9,1,37,1,,,,,293.83575429999973,294.83497360000047,294.83497360000047,294.83497360000047,294.83497360000047,294.83497360000047,295.8346267000002,295.8346267000002,v,1,0.5271303000004082,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
50,c,0,0,0,0,9,2,38,2,,,,,296.38452410000036,297.3674132000001,297.3674132000001,297.3674132000001,297.3674132000001,297.3841193000003,298.38349789999984,298.38349789999984,c,1,0.3278494999999566,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-150,z,0,0,0,0,9,3,39,3,,,,,298.73375220000025,299.73400119999997,299.73400119999997,299.73400119999997,299.73400119999997,299.73400119999997,300.73294600000054,300.73294600000054,z,1,0.4005376999998589,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-50,x,0,0,0,0,10,0,40,0,,,,,301.1664415,302.1670091000001,302.1670091000001,302.1670091000001,302.1670091000001,302.1670091000001,303.1650306000006,303.1650306000006,x,1,0.3929167999999663,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
150,v,0,0,0,0,10,1,41,1,,,,,303.5821122000002,304.5821834000003,304.5821834000003,304.5821834000003,304.5821834000003,304.5821834000003,305.5819392999997,305.5819392999997,v,1,0.5334133000001202,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
50,c,0,0,0,0,10,2,42,2,,,,,306.1477742000002,307.1484703000001,307.1484703000001,307.1484703000001,307.1484703000001,307.1484703000001,308.1472687999999,308.1472687999999,c,1,0.32137419999935446,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-150,z,0,0,0,0,10,3,43,3,,,,,308.49752130000024,309.49710060000007,309.49710060000007,309.49710060000007,309.49710060000007,309.49710060000007,310.49685400000044,310.49685400000044,z,1,1.0875568000005842,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-50,x,0,0,0,0,11,0,44,0,,,,,311.6133248000001,312.6129047999998,312.6129047999998,312.6129047999998,312.6129047999998,312.6129047999998,313.6125001000005,313.6125001000005,x,1,0.4295751000004202,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
150,v,0,0,0,0,11,1,45,1,,,,,314.0619999000005,315.06230060000007,315.06230060000007,315.06230060000007,315.06230060000007,315.06230060000007,316.07766740000034,316.07766740000034,v,1,0.46532129999968674,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
50,c,0,0,0,0,11,2,46,2,,,,,316.5618890999999,317.56098390000034,317.56098390000034,317.56098390000034,317.56098390000034,317.56098390000034,318.5606273999997,318.5606273999997,c,1,0.5363426000008076,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-150,z,0,0,0,0,11,3,47,3,,,,,319.12739269999975,320.12699740000016,320.12699740000016,320.12699740000016,320.12699740000016,320.12699740000016,321.1269709000003,321.1269709000003,z,1,0.6786268000000746,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-50,x,0,0,0,0,12,0,48,0,,,,,321.82683599999973,322.82549549999976,322.82549549999976,322.82549549999976,322.82549549999976,322.8425616999998,323.8262643000003,323.8262643000003,x,1,0.30600269999968077,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
150,v,0,0,0,0,12,1,49,1,,,,,324.1592857999999,325.15953240000044,325.15953240000044,325.15953240000044,325.15953240000044,325.15953240000044,326.1586769999999,326.1586769999999,v,1,0.36750160000019605,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
50,c,0,0,0,0,12,2,50,2,,,,,326.55800969999973,327.5572054999998,327.5572054999998,327.5572054999998,327.5572054999998,327.5759146000005,328.55786000000035,328.55786000000035,c,1,0.35357880000037767,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-150,z,0,0,0,0,12,3,51,3,,,,,328.9409838000006,329.9407292000001,329.9407292000001,329.9407292000001,329.9407292000001,329.9407292000001,330.9407076000002,330.9407076000002,z,1,0.3983445999997457,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-50,x,0,0,0,0,13,0,52,0,,,,,331.35754469999983,332.35766300000023,332.35766300000023,332.35766300000023,332.35766300000023,332.35766300000023,333.3567417999998,333.3567417999998,x,1,0.33795059999965815,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
150,v,0,0,0,0,13,1,53,1,,,,,333.72283019999986,334.7230543999999,334.7230543999999,334.7230543999999,334.7230543999999,334.7230543999999,335.7226880000003,335.7226880000003,v,1,0.4035409000002801,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
50,c,0,0,0,0,13,2,54,2,,,,,336.1731177000006,337.1730569000006,337.1730569000006,337.1730569000006,337.1730569000006,337.1730569000006,338.17083010000033,338.17083010000033,c,1,0.27180189999990034,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-150,z,0,0,0,0,13,3,55,3,,,,,338.47089389999974,339.4713539999998,339.4713539999998,339.4713539999998,339.4713539999998,339.4713539999998,340.47083220000013,340.47083220000013,z,1,0.5597011000004386,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-50,x,0,0,0,0,14,0,56,0,,,,,341.05441930000006,342.05428410000013,342.05428410000013,342.05428410000013,342.05428410000013,342.05428410000013,343.0525290999999,343.0525290999999,x,1,0.36308690000032584,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
150,v,0,0,0,0,14,1,57,1,,,,,343.4367072,344.4368639999998,344.4368639999998,344.4368639999998,344.4368639999998,344.4368639999998,345.43581380000023,345.43581380000023,v,1,0.43367069999976593,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
50,c,0,0,0,0,14,2,58,2,,,,,345.8860298000004,346.8864915999998,346.8864915999998,346.8864915999998,346.8864915999998,346.8864915999998,347.8849057000002,347.8849057000002,c,1,0.3029831999997441,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-150,z,0,0,0,0,14,3,59,3,,,,,348.2177625999998,349.2176205999999,349.2176205999999,349.2176205999999,349.2176205999999,349.23470000000043,350.2180863999997,350.2180863999997,z,1,0.35434420000046885,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-50,x,0,0,0,0,15,0,60,0,,,,,350.60083840000016,351.60132810000005,351.60132810000005,351.60132810000005,351.60132810000005,351.60132810000005,352.60031930000014,352.60031930000014,x,1,0.36135200000035184,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
150,v,0,0,0,0,15,1,61,1,,,,,352.98324580000053,353.9826231000002,353.9826231000002,353.9826231000002,353.9826231000002,353.9999799000002,354.9828938000005,354.9828938000005,v,1,0.4530644999999822,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
